AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"ADMINISTRACAO DIRETA",2009,6,0.00,181270031.00,3093796750.57,17345979817.25,,1
"ADMINISTRACAO INDIRETA",2009,6,0.00,262731.00,186826217.23,1224109780.21,,1
"EMPRESA EST. DEPENDENTES",2009,6,0.00,0.00,8250046.48,32694756.02,,1
"FUNDOS",2009,6,0.00,4308483.00,272471689.53,1815951848.89,,1
"ADMINISTRACAO DIRETA",2009,7,0.00,1863485.00,2376308540.46,19722288357.71,,1
"ADMINISTRACAO INDIRETA",2009,7,0.00,302835.00,158950299.14,1383060079.35,,1
"EMPRESA EST. DEPENDENTES",2009,7,0.00,0.00,6408014.91,39102770.93,,1
"FUNDOS",2009,7,0.00,813567.10,271940308.62,2087892157.51,,1
"ADMINISTRACAO DIRETA",2009,8,0.00,1249467.00,2450846624.55,22173134982.26,,1
"ADMINISTRACAO INDIRETA",2009,8,0.00,959330.04,256104238.53,1639164317.88,,1
"EMPRESA EST. DEPENDENTES",2009,8,0.00,0.00,5045244.81,44148015.74,,1
"FUNDOS",2009,8,0.00,184053.94,295164220.25,2383056377.76,,1
"ADMINISTRACAO DIRETA",2009,9,0.00,360000.00,2687185081.96,24860320064.22,,1
"ADMINISTRACAO INDIRETA",2009,9,0.00,2673348.00,124727963.67,1763892281.55,,1
"EMPRESA EST. DEPENDENTES",2009,9,0.00,0.00,6159007.36,50307023.10,,1
"FUNDOS",2009,9,0.00,0.00,296925852.90,2679982230.66,,1
"ADMINISTRACAO DIRETA",2009,10,0.00,1688910.01,3064498356.63,27924818420.85,,1
"ADMINISTRACAO INDIRETA",2009,10,0.00,58785.11,230189963.86,1994082245.41,,1
"EMPRESA EST. DEPENDENTES",2009,10,0.00,0.00,4473543.25,54780566.35,,1
"FUNDOS",2009,10,0.00,20000.00,269239680.10,2949221910.76,,1
"ADMINISTRACAO DIRETA",2009,11,0.00,313050.62,2753003891.31,30677822312.16,,1
"ADMINISTRACAO INDIRETA",2009,11,0.00,10313728.66,174096121.93,2168178367.34,,1
